NO_OF_FRAMES	2000
NO_OF_DATA_TYPES	3
FREQUENCY	100
TIME_STAMP	2026-01-20, 10:34:28
DATA_INCLUDED	Angle
DATA_TYPES	left_q1_YZ	left_q1_XZ	left_q1_XY

Frame	Time	left_q1_YZ	left_q1_XZ	left_q1_XY	
483	4.82000	16.097	7.773	72.031
484	4.83000	15.832	7.830	72.245
485	4.84000	15.569	7.902	72.449
486	4.85000	15.332	8.020	72.605
487	4.86000	15.077	8.109	72.788
488	4.87000	14.842	8.184	72.960
489	4.88000	14.599	8.256	73.136
490	4.89000	14.333	8.303	73.346
491	4.90000	14.073	8.367	73.539
492	4.91000	13.823	8.413	73.730
493	4.92000	13.582	8.451	73.916
494	4.93000	13.352	8.461	74.108
495	4.94000	13.131	8.457	74.298
496	4.95000	12.933	8.420	74.487
497	4.96000	12.732	8.320	74.713
498	4.97000	12.566	8.231	74.904
499	4.98000	12.410	8.141	75.086
500	4.99000	12.270	8.036	75.263
501	5.00000	12.142	7.943	75.424
502	5.01000	12.062	7.856	75.540
503	5.02000	12.016	7.783	75.620
504	5.03000	12.004	7.725	75.662
505	5.04000	12.008	7.682	75.683
506	5.05000	12.017	7.644	75.696
507	5.06000	12.022	7.608	75.712
508	5.07000	12.026	7.591	75.718
509	5.08000	12.026	7.564	75.733
510	5.09000	12.019	7.533	75.755
511	5.10000	12.002	7.503	75.786
512	5.11000	11.984	7.478	75.815
513	5.12000	11.959	7.445	75.854
514	5.13000	11.939	7.421	75.884
515	5.14000	11.927	7.410	75.900
516	5.15000	11.919	7.406	75.910
517	5.16000	11.907	7.407	75.919
518	5.17000	11.894	7.406	75.931
519	5.18000	11.876	7.409	75.945
520	5.19000	11.854	7.411	75.962
521	5.20000	11.827	7.419	75.981
522	5.21000	11.790	7.420	76.012
523	5.22000	11.755	7.432	76.035
524	5.23000	11.730	7.430	76.058
525	5.24000	11.713	7.445	76.064
526	5.25000	11.713	7.464	76.053
527	5.26000	11.721	7.481	76.037
528	5.27000	11.735	7.489	76.021
529	5.28000	11.752	7.502	76.000
530	5.29000	11.772	7.502	75.982
531	5.30000	11.795	7.505	75.961
532	5.31000	11.821	7.492	75.946
533	5.32000	11.850	7.479	75.929
534	5.33000	11.875	7.458	75.919
535	5.34000	11.898	7.429	75.915
536	5.35000	11.928	7.399	75.906
537	5.36000	11.954	7.371	75.898
538	5.37000	11.986	7.346	75.884
539	5.38000	12.021	7.321	75.868
540	5.39000	12.052	7.305	75.850
541	5.40000	12.079	7.286	75.836
542	5.41000	12.107	7.274	75.819
543	5.42000	12.122	7.270	75.808
544	5.43000	12.140	7.260	75.797
545	5.44000	12.162	7.267	75.775
546	5.45000	12.171	7.276	75.762
547	5.46000	12.186	7.283	75.746
548	5.47000	12.196	7.309	75.724
549	5.48000	12.205	7.328	75.705
550	5.49000	12.215	7.346	75.687
551	5.50000	12.222	7.370	75.668
552	5.51000	12.234	7.395	75.645
553	5.52000	12.247	7.417	75.622
554	5.53000	12.274	7.441	75.586
555	5.54000	12.301	7.459	75.553
556	5.55000	12.333	7.478	75.515
557	5.56000	12.369	7.489	75.479
558	5.57000	12.415	7.499	75.433
559	5.58000	12.461	7.502	75.393
560	5.59000	12.514	7.517	75.339
561	5.60000	12.578	7.521	75.281
562	5.61000	12.648	7.540	75.210
563	5.62000	12.725	7.557	75.135
564	5.63000	12.804	7.590	75.049
565	5.64000	12.902	7.614	74.951
566	5.65000	13.002	7.639	74.852
567	5.66000	13.118	7.667	74.736
568	5.67000	13.245	7.690	74.613
569	5.68000	13.392	7.713	74.473
570	5.69000	13.562	7.730	74.316
571	5.70000	13.748	7.730	74.153
572	5.71000	13.963	7.722	73.968
573	5.72000	14.190	7.702	73.776
574	5.73000	14.413	7.683	73.588
575	5.74000	14.584	7.714	73.421
576	5.75000	14.744	7.673	73.298
577	5.76000	14.873	7.646	73.195
578	5.77000	14.993	7.666	73.078
579	5.78000	15.149	7.585	72.976
580	5.79000	15.281	7.611	72.844
581	5.80000	15.416	7.641	72.709
582	5.81000	15.558	7.692	72.558
583	5.82000	15.729	7.753	72.374
584	5.83000	15.935	7.822	72.156
585	5.84000	16.164	7.868	71.927
586	5.85000	16.402	7.908	71.693
587	5.86000	16.664	7.958	71.432
588	5.87000	16.950	7.999	71.153
589	5.88000	17.235	8.017	70.884
590	5.89000	17.553	7.901	70.644
591	5.90000	17.843	7.864	70.393
592	5.91000	18.126	7.824	70.148
593	5.92000	18.411	7.756	69.912
594	5.93000	18.697	7.687	69.675
595	5.94000	18.986	7.597	69.441
596	5.95000	19.253	7.503	69.228
597	5.96000	19.506	7.404	69.028
598	5.97000	19.749	7.302	68.838
599	5.98000	19.983	7.212	68.649
600	5.99000	20.193	7.125	68.482
601	6.00000	20.382	7.036	68.334
602	6.01000	20.545	6.939	68.213
603	6.02000	20.656	6.848	68.139
604	6.03000	20.735	6.752	68.096
605	6.04000	20.790	6.644	68.079
606	6.05000	20.818	6.540	68.087
607	6.06000	20.814	6.426	68.128
608	6.07000	20.791	6.301	68.189
609	6.08000	20.746	6.169	68.274
610	6.09000	20.679	6.030	68.381
611	6.10000	20.584	5.885	68.517
612	6.11000	20.463	5.746	68.675
613	6.12000	20.317	5.587	68.863
614	6.13000	20.145	5.437	69.072
615	6.14000	19.963	5.267	69.296
616	6.15000	19.755	5.122	69.538
617	6.16000	19.537	4.969	69.790
618	6.17000	19.297	4.800	70.069
619	6.18000	19.039	4.639	70.362
620	6.19000	18.760	4.487	70.671
621	6.20000	18.440	4.357	71.016
622	6.21000	18.121	4.184	71.369
623	6.22000	17.792	4.019	71.730
624	6.23000	17.448	3.863	72.102
625	6.24000	17.112	3.702	72.468
626	6.25000	16.766	3.536	72.843
627	6.26000	16.401	3.354	73.240
628	6.27000	16.032	3.160	73.643
629	6.28000	15.665	2.948	74.046
630	6.29000	15.290	2.734	74.456
631	6.30000	14.900	2.502	74.882
632	6.31000	14.508	2.254	75.310
633	6.32000	14.119	1.993	75.735
634	6.33000	13.724	1.688	76.169
635	6.34000	13.334	1.346	76.596
636	6.35000	12.970	0.980	76.992
